ID	target_word	EN_source	OPUS-MT_DE	OPUS-MT_contrastive	original_HelsinkiMT_translation_gender	edited_HelsinkiMT_translation_gender
0	flight attendant	What you should never do on a plane: Flight attendant reveals airline secrets.	Was man im Flugzeug nie tun sollte: Flugbegleiter verrät Fluggeheimnisse.	Was man im Flugzeug nie tun sollte: Flugbegleiterin verrät Fluggeheimnisse.	male	female
1	musician	"In an Instagram video posted last month, the ""All Too Well"" musician can be seen collaborating with producer Jack Antonoff on the piano."	"In einem Instagram-Video, das im letzten Monat veröffentlicht wurde, ist der ""All Too Well""-Musiker mit dem Produzenten Jack Antonoff am Klavier zu sehen."	"In einem Instagram-Video, das im letzten Monat veröffentlicht wurde, ist die ""All Too Well""-Musikerin mit dem Produzenten Jack Antonoff am Klavier zu sehen."	male	female
2	opponent	On Thursday evening, finally, she stepped out onto the court against a top 10 opponent for just the second time of her life.	Am Donnerstagabend trat sie schließlich zum zweiten Mal in ihrem Leben gegen eine Top 10 Gegnerin auf den Platz.	Am Donnerstagabend trat sie schließlich zum zweiten Mal in ihrem Leben gegen einen Top 10 Gegner auf den Platz.	female	male
3	socialite	The socialite who got a countess to write a 50-page manual on such things as how full a box of tissues had to be before it was thrown away - half - never noticed the fresh child factory production line of underage girls coming and going.	Der Sozialist, der eine Gräfin bekam, um ein 50-seitiges Handbuch über solche Dinge zu schreiben, wie wie voll eine Schachtel Gewebe sein musste, bevor es weggeworfen wurde - halb - bemerkte nie die frische Kinderfabrik Produktionslinie der minderjährigen Mädchen kommen und gehen.	Die Sozialistin, die eine Gräfin bekam, um ein 50-seitiges Handbuch über solche Dinge zu schreiben, wie wie voll eine Schachtel Gewebe sein musste, bevor es weggeworfen wurde - halb - bemerkte nie die frische Kinderfabrik Produktionslinie der minderjährigen Mädchen kommen und gehen.	male	female
4	therapist	Kensington massage therapist jailed for sexually assaulting clients.	Kensington Massagetherapeutin wegen sexueller Übergriffe inhaftiert.	Kensington Massagetherapeut wegen sexueller Übergriffe inhaftiert.	female	male
5	coordinator	One day, she visited a friend who worked as an assistant production coordinator on a set, and she was intrigued by the location department.	Eines Tages besuchte sie eine Freundin, die als stellvertretende Produktionskoordinatorin am Set arbeitete, und sie war fasziniert von der Standortabteilung.	Eines Tages besuchte sie einen Freund, der als stellvertretender Produktionskoordinator am Set arbeitete, und sie war fasziniert von der Standortabteilung.	female	male
6	lover	SINGER Matt Goss smooches with his new lover after a dinner date.	SINGER Matt Goss smookes mit seinem neuen Liebhaber nach einem Abendessen Date.	SINGER Matt Goss smookes mit seiner neuen Liebhaberin nach einem Abendessen Date.	male	female
7	mechanic	It's important if we want to see a future in which a boy could become a midwife or a girl could become a mechanic.	Es ist wichtig, wenn wir eine Zukunft sehen wollen, in der ein Junge Hebamme werden könnte oder ein Mädchen ein Mechaniker werden könnte.	Es ist wichtig, wenn wir eine Zukunft sehen wollen, in der ein Junge Hebamme werden könnte oder ein Mädchen eine Mechanikerin werden könnte.	male	female
8	dancer	But I do pop back as a feature dancer now and then as my fans miss me and I get paid to just hang out in clubs.	Aber ich pop zurück als Feature-Tänzer ab und zu, wie meine Fans vermissen mich und ich werde bezahlt, um nur in Clubs hängen.	Aber ich pop zurück als Feature-Tänzerin ab und zu, wie meine Fans vermissen mich und ich werde bezahlt, um nur in Clubs hängen.	male	female
9	therapist	"There are 52 weeks in a year, my therapist continued matter-of-factly, ""I know you can't go on a date every single week, but how many do you think you should be going on?"""	"Es gibt 52 Wochen im Jahr, meine Therapeutin setzte die Sache fort: ""Ich weiß, du kannst nicht jede Woche auf ein Date gehen, aber wie viele solltest du wohl machen?"""	"Es gibt 52 Wochen im Jahr, mein Therapeut setzte die Sache fort: ""Ich weiß, du kannst nicht jede Woche auf ein Date gehen, aber wie viele solltest du wohl machen?"""	female	male
10	visitor	A health visitor also contacted RBH to raise the issue in July 2020 and an inspection that month found mould in the kitchen, bathroom and a bedroom cupboard needed treatment.	Ein Gesundheitsbesucher kontaktierte auch RBH, um das Problem im Juli 2020 anzusprechen, und eine Inspektion, dass Monat gefunden Schimmel in der Küche, Bad und einem Schlafzimmerschrank benötigt Behandlung.	Eine Gesundheitsbesucherin kontaktierte auch RBH, um das Problem im Juli 2020 anzusprechen, und eine Inspektion, dass Monat gefunden Schimmel in der Küche, Bad und einem Schlafzimmerschrank benötigt Behandlung.	male	female
11	colleague	"Like me, Imogen gets her ""dream job"" and thinks her life is finally starting - but her confidence and happiness is constantly threatened and undermined by a toxic colleague."	"Wie ich bekommt Imogen ihren ""Traumjob"" und denkt, dass ihr Leben endlich beginnt - aber ihr Vertrauen und ihr Glück wird ständig von einer giftigen Kollegin bedroht und unterminiert."	"Wie ich bekommt Imogen ihren ""Traumjob"" und denkt, dass ihr Leben endlich beginnt - aber ihr Vertrauen und ihr Glück wird ständig von einem giftigen Kollegen bedroht und unterminiert."	female	male
12	companion	In 2018, the billionaire said he couldn't be happy if he wasn't in love with a long-term companion.	2018 sagte der Milliardär, er könne nicht glücklich sein, wenn er nicht in einen langfristigen Begleiter verliebt wäre.	2018 sagte der Milliardär, er könne nicht glücklich sein, wenn er nicht in eine langfristige Begleiterin verliebt wäre.	male	female
13	author	I have a little anecdote regarding [a popular but vaguely dissident Chinese author].	Ich habe eine kleine Anekdote über [einen populären, aber vage dissidenten chinesischen Autor].	Ich habe eine kleine Anekdote über [eine populäre, aber vage dissidente chinesische Autorin].	male	female
14	clerk	A hotel clerk was caught on video calling a black customer a monkey.	Ein Hotelangestellter wurde auf Video erwischt und nannte einen schwarzen Kunden einen Affen.	Eine Hotelangestellte wurde auf Video erwischt und nannte einen schwarzen Kunden einen Affen.	male	female
15	student	WASHINGTON — New charges have been filed against a Washington, D.C, barbershop owner accused of posing as a Howard University student and sexually assaulting incapacitated teenagers.	WASHINGTON — Es wurden neue Anklagen gegen einen in Washington (D. C.) ansässigen Barbershopbesitzer erhoben, der beschuldigt wurde, sich als Student der Howard University zu betätigen und unfähig gewordene Jugendliche sexuell anzugreifen.	WASHINGTON — Es wurden neue Anklagen gegen eine in Washington (D. C.) ansässige Barbershopbesitzerin erhoben, die beschuldigt wurde, sich als Studentin der Howard University zu betätigen und unfähig gewordene Jugendliche sexuell anzugreifen.	male	female
16	accountant	And I think the topic would need the eye of a forensic accountant.	Und ich denke, das Thema würde das Auge eines forensischen Buchhalters brauchen.	Und ich denke, das Thema würde das Auge einer forensischen Buchhalterin brauchen.	male	female
17	designer	If you get a low score, work with your Web developer or designer to improve it.	Wenn Sie eine niedrige Punktzahl erhalten, arbeiten Sie mit Ihrem Web-Entwickler oder Designer, um es zu verbessern.	Wenn Sie eine niedrige Punktzahl erhalten, arbeiten Sie mit Ihrem Web-Entwickler oder Ihrer Designerin, um es zu verbessern.	male	female
18	baker	The former baker, from Alsager, Cheshire, recalls: “I felt utterly humiliated.	"Der ehemalige Bäcker aus Alsager, Cheshire, erinnert sich: ""Ich fühlte mich völlig gedemütigt."	"Die ehemalige Bäckerin aus Alsager, Cheshire, erinnert sich: ""Ich fühlte mich völlig gedemütigt."	male	female
19	lover	Casual sends a check-in to your friend or lover to see how they’re doing or what they’re up to.	Casual schickt einen Check-in an Ihren Freund oder Liebhaber, um zu sehen, wie sie tun oder was sie bis zu.	Casual schickt einen Check-in an Ihren Freund oder Ihre Liebhaberin, um zu sehen, wie sie tun oder was sie bis zu.	male	female
20	writer	For someone who is normally a business writer, that is very valuable.	Für jemanden, der normalerweise ein Wirtschaftsschriftsteller ist, ist das sehr wertvoll.	Für jemanden, die normalerweise eine Wirtschaftsschriftstellerin ist, ist das sehr wertvoll.	male	female
21	winner	And it is far from a sure political winner in the upcoming election.	Und es ist alles andere als ein sicherer politischer Gewinner bei der bevorstehenden Wahl.	Und es ist alles andere als eine sichere politische Gewinnerin bei der bevorstehenden Wahl.	male	female
22	consumer	It will also give the scotch maker a way to engage more deeply with a consumer who might otherwise just toss that bottle away and never be heard from again.	Es wird auch dem Scotch-Hersteller einen Weg geben, sich tiefer mit einem Verbraucher zu befassen, der sonst diese Flasche wegwerfen und nie wieder von ihm gehört werden könnte.	Es wird auch dem Scotch-Hersteller einen Weg geben, sich tiefer mit einer Verbraucherin zu befassen, die sonst diese Flasche wegwerfen und nie wieder von ihr  gehört werden könnte.	male	female
23	poet	Who’s the worst poet in Miami?	Wer ist der schlimmste Dichter in Miami?	Wer ist die schlimmste Dichterin in Miami?	male	female
24	author	The author, 75, suffered severe, life-changing injuries after being stabbed several times ahead of a lecture at the Chautauqua Institution in New York.	Der Autor, 75, erlitt schwere, lebensverändernde Verletzungen, nachdem er mehrmals vor einem Vortrag an der Chautauqua Institution in New York erstochen wurde.	Die Autorin, 75, erlitt schwere, lebensverändernde Verletzungen, nachdem sie mehrmals vor einem Vortrag an der Chautauqua Institution in New York erstochen wurde.	male	female
25	writer	Promising comparable results to actually washing your hair with a rinse-out shampoo, we are pleased to report that this is as close to the real thing as you're going to get, noted our writer.	Versprechende vergleichbare Ergebnisse, um tatsächlich Ihr Haar mit einem Spül-out Shampoo waschen, freuen wir uns, zu berichten, dass dies so nah an der realen Sache ist, wie Sie werden zu bekommen, bemerkte unser Schriftsteller.	Versprechende vergleichbare Ergebnisse, um tatsächlich Ihr Haar mit einem Spül-out Shampoo waschen, freuen wir uns, zu berichten, dass dies so nah an der realen Sache ist, wie Sie werden zu bekommen, bemerkte unsere Schriftstellerin.	male	female
26	designer	The bridge's designer had recommended regular upkeep to remove rust, especially due to the corrosive effect of moist air from the nearby Ligurian Sea, and maintenance to counter the effect of pollution on concrete.	Der Architekt der Brücke hatte empfohlen, regelmäßig zu warten, um Rost zu entfernen, vor allem aufgrund der korrosiven Wirkung der feuchten Luft aus dem nahe gelegenen Ligurischen Meer, und Wartung, um die Auswirkungen der Verschmutzung auf Beton zu bekämpfen.	Die Architektin der Brücke hatte empfohlen, regelmäßig zu warten, um Rost zu entfernen, vor allem aufgrund der korrosiven Wirkung der feuchten Luft aus dem nahe gelegenen Ligurischen Meer, und Wartung, um die Auswirkungen der Verschmutzung auf Beton zu bekämpfen.	male	female
27	bookkeeper	From bookkeeper to ski instructor.	Vom Buchhalter zum Skilehrer.	Von Buchhalterin zur Skilehrerin.	male	female
28	clerk	The Newark, New Jersey, native was born in 1954 and adopted at age six months out of an orphanage by a township clerk and an auto parts owner.	Die Newark, New Jersey, gebürtig wurde 1954 geboren und im Alter von sechs Monaten aus einem Waisenhaus von einem Gemeindebeamten und einem Auto Teile Eigentümer adoptiert.	Die Newark, New Jersey, gebürtig wurde 1954 geboren und im Alter von sechs Monaten aus einem Waisenhaus von einer Gemeindebeamten und einem Auto Teile Eigentümer adoptiert.	male	female
29	author	The 69-year-old native of Lyon, France, is the author of several works, mainly about patristics and Christology.	Die 69-jährige aus Lyon, Frankreich, ist der Autor mehrerer Werke, vor allem über die Patristik und Christologie.	Die 69-jährige aus Lyon, Frankreich, ist die Autorin mehrerer Werke, vor allem über die Patristik und Christologie.	male	female
30	counselor	Only then did I realize the counselor was actually calling me fat - and making fun of me.	Erst dann erkannte ich, dass der Berater mich tatsächlich fett nannte - und sich über mich lustig machte.	Erst dann erkannte ich, dass die Beraterin mich tatsächlich fett nannte - und sich über mich lustig machte.	male	female
31	dancer	I'm not a dancer.	Ich bin keine Tänzerin.	Ich bin kein Tänzer.	female	male
32	friend	"After a friend suggested she try it, Ann said, ""Sure!"""	"Nachdem eine Freundin vorgeschlagen hatte, es zu versuchen, sagte Ann: ""Sicher!"""	"Nachdem ein Freund vorgeschlagen hatte, es zu versuchen, sagte Ann: ""Sicher!"""	female	male
33	guard	The reserve guard stepped up in the absence of fellow rookie guard Jordan Nixon, who injured her hamstring during warmups.	Der Reservewächter trat in Abwesenheit des Rookie-Wächters Jordan Nixon auf, der während der Aufwärmungen ihren Hamstring verletzte.	Die Reservewächterin trat in Abwesenheit des Rookie-Wächters Jordan Nixon auf, der während der Aufwärmungen ihren Hamstring verletzte.	male	female
34	officer	I am also the the chief executive officer of Global Women Network, a United Kingdom-based Non-governmental Organisation with roots in Nigeria.	Ich bin auch der Chief Executive Officer des Global Women Network, einer in Großbritannien ansässigen Nichtregierungsorganisation mit Wurzeln in Nigeria.	Ich bin auch die Chief Executive Officer des Global Women Network, einer in Großbritannien ansässigen Nichtregierungsorganisation mit Wurzeln in Nigeria.	male	female
35	winner	THE 2022 series of The Voice is coming to an end and a new star will be crowned the winner.	DIE 2022er Serie von The Voice geht zu Ende und ein neuer Stern wird zum Gewinner gekrönt.	DIE 2022er Serie von The Voice geht zu Ende und ein neuer Stern wird zur Gewinnerin gekrönt.	male	female
36	user	"Another user commented, ""You guys are the best social media account in the country."""	"Ein anderer Nutzer kommentierte: ""Ihr seid der beste Social-Media-Account des Landes."""	"Eine andere Nutzerin kommentierte: ""Ihr seid der beste Social-Media-Account des Landes."""	male	female
37	supporter	"In other lyrics, the vocal Donald Trump supporter says: ""Inflation's up like the minimum wage. So it's all the same. Not a damn thing changed."""	"In anderen Texten sagt der Sänger Donald Trump: „Die Inflation steigt wie der Mindestlohn. Es ist also alles gleich. Es hat sich nichts geändert."""	"In anderen Texten sagt die Sängerin Donald Trump: „Die Inflation steigt wie der Mindestlohn. Es ist also alles gleich. Es hat sich nichts geändert."""	male	female
38	judge	It's a hard fall from grace for someone who worked hard as a lawyer and became a judge and is now a convicted felon, Oreskovich said.	Es ist ein schwerer Fall von Gnade für jemanden, der hart als Anwalt gearbeitet und wurde ein Richter und ist jetzt ein verurteilter Verbrecher, Oreskovich sagte.	Es ist ein schwerer Fall von Gnade für jemanden, die hart als Anwältin gearbeitet und wurde eine Richterin und ist jetzt eine verurteilte Verbrecherin, Oreskovich sagte.	male	female
39	fighter	It's not the end of the world just yet - I like to think of myself as a fighter and I will keep fighting right until my last run.	Es ist noch nicht das Ende der Welt - ich sehe mich gern als Kämpfer und werde bis zu meinem letzten Lauf weiter kämpfen.	Es ist noch nicht das Ende der Welt - ich sehe mich gern als Kämpferin und werde bis zu meinem letzten Lauf weiter kämpfen.	male	female
40	dealer	The trade is likely to involve a Russian arms dealer imprisoned in the US and a North American basketball player, recently detained in Russia.	Der Handel wird wahrscheinlich einen russischen Waffenhändler, der in den USA inhaftiert ist, und einen nordamerikanischen Basketballspieler umfassen, der kürzlich in Russland inhaftiert wurde.	Der Handel wird wahrscheinlich eine russische Waffenhändlerin, die in den USA inhaftiert ist, und einen nordamerikanischen Basketballspieler umfassen, der kürzlich in Russland inhaftiert wurde.	male	female
41	soldier	The soldier cries continuously.	Der Soldat schreit ständig.	Die Soldatin schreit ständig.	male	female
42	officer	After shooting the two officers, he tried to leave the apartment and was shot by the third officer.	Nachdem er die beiden Offiziere erschossen hatte, versuchte er die Wohnung zu verlassen und wurde von dem dritten Offizier erschossen.	Nachdem er die beiden Offiziere erschossen hatte, versuchte er die Wohnung zu verlassen und wurde von der dritten Offizierin erschossen.	male	female
43	player	The German boss is reportedly convinced that the teenager can become a hugely important player in the near future.	Berichten zufolge ist der deutsche Chef davon überzeugt, dass der Teenager in naher Zukunft ein enorm wichtiger Akteur werden kann.	Berichten zufolge ist der deutsche Chef davon überzeugt, dass die Teenagerin in naher Zukunft eine enorm wichtige Akteurin werden kann.	male	female
44	manager	That's drilled into us by the manager, that we don't ever give up on the win.	Das wird uns vom Manager durchbohrt, dass wir den Sieg nie aufgeben.	Das wird uns von der Managerin durchbohrt, dass wir den Sieg nie aufgeben.	male	female
45	contractor	When a contractor lies to a customer, we use the civil system to remedy the situation.	Wenn ein Auftragnehmer bei einem Kunden liegt, verwenden wir das zivile System, um die Situation zu beheben.	Wenn eine Auftragnehmerin bei einem Kunden liegt, verwenden wir das zivile System, um die Situation zu beheben.	male	female
46	captain	Secrecy, sex and sun: captain reveals life aboard superyachts	Geheimhaltung, Sex und Sonne: Kapitän enthüllt Leben an Bord von Superyachten	Geheimhaltung, Sex und Sonne: Kapitänin enthüllt Leben an Bord von Superyachten	male	female
47	farmer	In the video that has now amassed over 4.4million views, the farmer goes on to explain that cows eat a substance every day called TMR, short for totally mixed ration.	In dem Video, das nun über 4,4 Millionen Ansichten angesammelt hat, erklärt der Landwirt weiter, dass Kühe jeden Tag eine Substanz namens TMR fressen, kurz für eine völlig gemischte Ration.	In dem Video, das nun über 4,4 Millionen Ansichten angesammelt hat, erklärt die Landwirtin weiter, dass Kühe jeden Tag eine Substanz namens TMR fressen, kurz für eine völlig gemischte Ration.	male	female
48	maestro	"As my colleague Mark Landler put it: ""In Switzerland, the Lucerne music festival canceled two symphony concerts featuring a Russian maestro."	"Mein Kollege Mark Landler sagte: ""In der Schweiz hat das Luzerner Musikfestival zwei Sinfoniekonzerte mit einem russischen Maestro abgesagt."	"Mein Kollege Mark Landler sagte: ""In der Schweiz hat das Luzerner Musikfestival zwei Sinfoniekonzerte mit einer russischen Maestra abgesagt."	male	female
49	construction worker	As any construction worker will tell you, digging is hard work and tea breaks are key.	Wie jeder Bauarbeiter Ihnen sagen wird, ist das Graben harte Arbeit und Teepausen sind der Schlüssel.	Wie jede Bauarbeiterin Ihnen sagen wird, ist das Graben harte Arbeit und Teepausen sind der Schlüssel.	male	female
50	boss	The irony of this metaphor being solemnly valorised by the boss of a powerful tech corporation seems to be lost on the industry.	Die Ironie dieser Metapher, die feierlich vom Chef eines mächtigen Tech-Unternehmens gewertet wird, scheint auf der Branche verloren zu sein.	Die Ironie dieser Metapher, die feierlich von der Chefin eines mächtigen Tech-Unternehmens gewertet wird, scheint auf der Branche verloren zu sein.	male	female
51	driver	Police are appealing for help to locate a ute driver who they believe picked up Everleigh and helped her to leave the area.	Die Polizei bittet um Hilfe, um einen Fahrer zu finden, von dem sie glauben, dass er Everleigh abgeholt hat, und half ihr, die Gegend zu verlassen.	Die Polizei bittet um Hilfe, um eine Fahrerin zu finden, von der sie glauben, dass sie Everleigh abgeholt hat, und half ihr, die Gegend zu verlassen.	male	female
