ID	target_word	EN_source	OPUS-MT_DE	salient_words	POS
0	flight attendant	What you should never do on a plane: Flight attendant reveals airline secrets.	Was man im Flugzeug nie tun sollte: Flugbegleiter verrät Fluggeheimnisse.	"reveals; secrets"	"VERB; NOUN"
1	musician	"In an Instagram video posted last month, the ""All Too Well"" musician can be seen collaborating with producer Jack Antonoff on the piano."	"In einem Instagram-Video, das im letzten Monat veröffentlicht wurde, ist der ""All Too Well""-Musiker mit dem Produzenten Jack Antonoff am Klavier zu sehen."	collaborating	VERB
2	opponent	On Thursday evening, finally, she stepped out onto the court against a top 10 opponent for just the second time of her life.	Am Donnerstagabend trat sie schließlich zum zweiten Mal in ihrem Leben gegen eine Top 10 Gegnerin auf den Platz.	"her; 10"	"PRON; NUM"
3	socialite	The socialite who got a countess to write a 50-page manual on such things as how full a box of tissues had to be before it was thrown away - half - never noticed the fresh child factory production line of underage girls coming and going.	Der Sozialist, der eine Gräfin bekam, um ein 50-seitiges Handbuch über solche Dinge zu schreiben, wie wie voll eine Schachtel Gewebe sein musste, bevor es weggeworfen wurde - halb - bemerkte nie die frische Kinderfabrik Produktionslinie der minderjährigen Mädchen kommen und gehen.	"countess; tissues"	"NOUN; NOUN"
4	therapist	Kensington massage therapist jailed for sexually assaulting clients.	Kensington Massagetherapeutin wegen sexueller Übergriffe inhaftiert.	Kensington	PROPN
5	coordinator	One day, she visited a friend who worked as an assistant production coordinator on a set, and she was intrigued by the location department.	Eines Tages besuchte sie eine Freundin, die als stellvertretende Produktionskoordinatorin am Set arbeitete, und sie war fasziniert von der Standortabteilung.	friend	NOUN
6	lover	SINGER Matt Goss smooches with his new lover after a dinner date.	SINGER Matt Goss smookes mit seinem neuen Liebhaber nach einem Abendessen Date.	"smooches; his"	"VERB; PRON"
7	mechanic	It's important if we want to see a future in which a boy could become a midwife or a girl could become a mechanic.	Es ist wichtig, wenn wir eine Zukunft sehen wollen, in der ein Junge Hebamme werden könnte oder ein Mädchen ein Mechaniker werden könnte.	midwife	NOUN
8	dancer	But I do pop back as a feature dancer now and then as my fans miss me and I get paid to just hang out in clubs.	Aber ich pop zurück als Feature-Tänzer ab und zu, wie meine Fans vermissen mich und ich werde bezahlt, um nur in Clubs hängen.	"feature; and"	"NOUN; CCONJ"
9	therapist	"There are 52 weeks in a year, my therapist continued matter-of-factly, ""I know you can't go on a date every single week, but how many do you think you should be going on?"""	"Es gibt 52 Wochen im Jahr, meine Therapeutin setzte die Sache fort: ""Ich weiß, du kannst nicht jede Woche auf ein Date gehen, aber wie viele solltest du wohl machen?"""	matter-of-factly	NOUN
10	visitor	A health visitor also contacted RBH to raise the issue in July 2020 and an inspection that month found mould in the kitchen, bathroom and a bedroom cupboard needed treatment.	Ein Gesundheitsbesucher kontaktierte auch RBH, um das Problem im Juli 2020 anzusprechen, und eine Inspektion, dass Monat gefunden Schimmel in der Küche, Bad und einem Schlafzimmerschrank benötigt Behandlung.	"contacted; 2020"	"VERB; NUM"
11	colleague	"Like me, Imogen gets her ""dream job"" and thinks her life is finally starting - but her confidence and happiness is constantly threatened and undermined by a toxic colleague."	"Wie ich bekommt Imogen ihren ""Traumjob"" und denkt, dass ihr Leben endlich beginnt - aber ihr Vertrauen und ihr Glück wird ständig von einer giftigen Kollegin bedroht und unterminiert."	"toxic; her"	"ADJ; PRON"
12	companion	In 2018, the billionaire said he couldn't be happy if he wasn't in love with a long-term companion.	2018 sagte der Milliardär, er könne nicht glücklich sein, wenn er nicht in einen langfristigen Begleiter verliebt wäre.	long-term	ADJ
13	author	I have a little anecdote regarding [a popular but vaguely dissident Chinese author].	Ich habe eine kleine Anekdote über [einen populären, aber vage dissidenten chinesischen Autor].	anecdote	NOUN
14	clerk	A hotel clerk was caught on video calling a black customer a monkey.	Ein Hotelangestellter wurde auf Video erwischt und nannte einen schwarzen Kunden einen Affen.	"caught; hotel"	"VERB; NOUN"
15	student	WASHINGTON — New charges have been filed against a Washington, D.C, barbershop owner accused of posing as a Howard University student and sexually assaulting incapacitated teenagers.	WASHINGTON — Es wurden neue Anklagen gegen einen in Washington (D. C.) ansässigen Barbershopbesitzer erhoben, der beschuldigt wurde, sich als Student der Howard University zu betätigen und unfähig gewordene Jugendliche sexuell anzugreifen.	"C; Washington"	"PROPN; PROPN"
16	accountant	And I think the topic would need the eye of a forensic accountant.	Und ich denke, das Thema würde das Auge eines forensischen Buchhalters brauchen.	forensic	ADJ
17	designer	If you get a low score, work with your Web developer or designer to improve it.	Wenn Sie eine niedrige Punktzahl erhalten, arbeiten Sie mit Ihrem Web-Entwickler oder Designer, um es zu verbessern.	"developer; Web"	"NOUN; NOUN"
18	baker	The former baker, from Alsager, Cheshire, recalls: “I felt utterly humiliated.	"Der ehemalige Bäcker aus Alsager, Cheshire, erinnert sich: ""Ich fühlte mich völlig gedemütigt."	recalls	VERB
19	lover	Casual sends a check-in to your friend or lover to see how they’re doing or what they’re up to.	Casual schickt einen Check-in an Ihren Freund oder Liebhaber, um zu sehen, wie sie tun oder was sie bis zu.	"Casual; to"	"PROPN; ADP"
20	writer	For someone who is normally a business writer, that is very valuable.	Für jemanden, der normalerweise ein Wirtschaftsschriftsteller ist, ist das sehr wertvoll.	normally	ADV
21	winner	And it is far from a sure political winner in the upcoming election.	Und es ist alles andere als ein sicherer politischer Gewinner bei der bevorstehenden Wahl.	sure	ADJ
22	consumer	It will also give the scotch maker a way to engage more deeply with a consumer who might otherwise just toss that bottle away and never be heard from again.	Es wird auch dem Scotch-Hersteller einen Weg geben, sich tiefer mit einem Verbraucher zu befassen, der sonst diese Flasche wegwerfen und nie wieder von ihm gehört werden könnte.	"scotch; maker; engage"	"NOUN; NOUN; VERB"
23	poet	Who’s the worst poet in Miami?	Wer ist der schlimmste Dichter in Miami?	Who's	PRON
24	author	The author, 75, suffered severe, life-changing injuries after being stabbed several times ahead of a lecture at the Chautauqua Institution in New York.	Der Autor, 75, erlitt schwere, lebensverändernde Verletzungen, nachdem er mehrmals vor einem Vortrag an der Chautauqua Institution in New York erstochen wurde.	"75; Chautauqua"	"NUM; PROPN"
25	writer	Promising comparable results to actually washing your hair with a rinse-out shampoo, we are pleased to report that this is as close to the real thing as you're going to get, noted our writer.	Versprechende vergleichbare Ergebnisse, um tatsächlich Ihr Haar mit einem Spül-out Shampoo waschen, freuen wir uns, zu berichten, dass dies so nah an der realen Sache ist, wie Sie werden zu bekommen, bemerkte unser Schriftsteller.	"noted; get"	"VERB; VERB"
26	designer	The bridge's designer had recommended regular upkeep to remove rust, especially due to the corrosive effect of moist air from the nearby Ligurian Sea, and maintenance to counter the effect of pollution on concrete.	Der Architekt der Brücke hatte empfohlen, regelmäßig zu warten, um Rost zu entfernen, vor allem aufgrund der korrosiven Wirkung der feuchten Luft aus dem nahe gelegenen Ligurischen Meer, und Wartung, um die Auswirkungen der Verschmutzung auf Beton zu bekämpfen.	bridge's	NOUN
27	bookkeeper	From bookkeeper to ski instructor.	Vom Buchhalter zum Skilehrer.	instructor	NOUN
28	clerk	The Newark, New Jersey, native was born in 1954 and adopted at age six months out of an orphanage by a township clerk and an auto parts owner.	Die Newark, New Jersey, gebürtig wurde 1954 geboren und im Alter von sechs Monaten aus einem Waisenhaus von einem Gemeindebeamten und einem Auto Teile Eigentümer adoptiert.	township	NOUN
29	author	The 69-year-old native of Lyon, France, is the author of several works, mainly about patristics and Christology.	Die 69-jährige aus Lyon, Frankreich, ist der Autor mehrerer Werke, vor allem über die Patristik und Christologie.	"69-year-old; works"	"NUM; NOUN"
30	counselor	Only then did I realize the counselor was actually calling me fat - and making fun of me.	Erst dann erkannte ich, dass der Berater mich tatsächlich fett nannte - und sich über mich lustig machte.	fat	NOUN
31	dancer	I'm not a dancer.	Ich bin keine Tänzerin.	I'm	PRON
32	friend	"After a friend suggested she try it, Ann said, ""Sure!"""	"Nachdem eine Freundin vorgeschlagen hatte, es zu versuchen, sagte Ann: ""Sicher!"""	she	PRON
33	guard	The reserve guard stepped up in the absence of fellow rookie guard Jordan Nixon, who injured her hamstring during warmups.	Der Reservewächter trat in Abwesenheit des Rookie-Wächters Jordan Nixon auf, der während der Aufwärmungen ihren Hamstring verletzte.	"stepped; reserve"	"VERB; PROPN"
34	officer	I am also the the chief executive officer of Global Women Network, a United Kingdom-based Non-governmental Organisation with roots in Nigeria.	Ich bin auch der Chief Executive Officer des Global Women Network, einer in Großbritannien ansässigen Nichtregierungsorganisation mit Wurzeln in Nigeria.	Women	PROPN
35	winner	THE 2022 series of The Voice is coming to an end and a new star will be crowned the winner.	DIE 2022er Serie von The Voice geht zu Ende und ein neuer Stern wird zum Gewinner gekrönt.	crowned	VERB
36	user	"Another user commented, ""You guys are the best social media account in the country."""	"Ein anderer Nutzer kommentierte: ""Ihr seid der beste Social-Media-Account des Landes."""	commented	VERB
37	supporter	"In other lyrics, the vocal Donald Trump supporter says: ""Inflation's up like the minimum wage. So it's all the same. Not a damn thing changed."""	"In anderen Texten sagt der Sänger Donald Trump: „Die Inflation steigt wie der Mindestlohn. Es ist also alles gleich. Es hat sich nichts geändert."""	vocal	ADJ
38	judge	It's a hard fall from grace for someone who worked hard as a lawyer and became a judge and is now a convicted felon, Oreskovich said.	Es ist ein schwerer Fall von Gnade für jemanden, der hart als Anwalt gearbeitet und wurde ein Richter und ist jetzt ein verurteilter Verbrecher, Oreskovich sagte.	"Oreskovich; grace"	"PROPN; NOUN"
39	fighter	It's not the end of the world just yet - I like to think of myself as a fighter and I will keep fighting right until my last run.	Es ist noch nicht das Ende der Welt - ich sehe mich gern als Kämpfer und werde bis zu meinem letzten Lauf weiter kämpfen.	"think; myself"	"VERB; PRON"
40	dealer	The trade is likely to involve a Russian arms dealer imprisoned in the US and a North American basketball player, recently detained in Russia.	Der Handel wird wahrscheinlich einen russischen Waffenhändler, der in den USA inhaftiert ist, und einen nordamerikanischen Basketballspieler umfassen, der kürzlich in Russland inhaftiert wurde.	involve	VERB
41	soldier	The soldier cries continuously.	Der Soldat schreit ständig.	cries	VERB
42	officer	After shooting the two officers, he tried to leave the apartment and was shot by the third officer.	Nachdem er die beiden Offiziere erschossen hatte, versuchte er die Wohnung zu verlassen und wurde von dem dritten Offizier erschossen.	"officers; third"	"NOUN; ADJ"
43	player	The German boss is reportedly convinced that the teenager can become a hugely important player in the near future.	Berichten zufolge ist der deutsche Chef davon überzeugt, dass der Teenager in naher Zukunft ein enorm wichtiger Akteur werden kann.	teenager	NOUN
44	manager	That's drilled into us by the manager, that we don't ever give up on the win.	Das wird uns vom Manager durchbohrt, dass wir den Sieg nie aufgeben.	drilled	VERB
45	contractor	When a contractor lies to a customer, we use the civil system to remedy the situation.	Wenn ein Auftragnehmer bei einem Kunden liegt, verwenden wir das zivile System, um die Situation zu beheben.	lies	VERB
46	captain	Secrecy, sex and sun: captain reveals life aboard superyachts	Geheimhaltung, Sex und Sonne: Kapitän enthüllt Leben an Bord von Superyachten	reveals	VERB
47	farmer	In the video that has now amassed over 4.4million views, the farmer goes on to explain that cows eat a substance every day called TMR, short for totally mixed ration.	In dem Video, das nun über 4,4 Millionen Ansichten angesammelt hat, erklärt der Landwirt weiter, dass Kühe jeden Tag eine Substanz namens TMR fressen, kurz für eine völlig gemischte Ration.	"4.4million; cows"	"NUM; NOUN"
